epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,4068.22,0.69164,0.55723,1.0612,0.97124,0.9366,0.93092,0.7841,0.66582,0.50355,1.09611,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4161.79,0.68678,0.55085,1.059,0.9644,0.9366,0.93209,0.78392,0.66791,0.49782,1.10059,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4255.22,0.68941,0.55496,1.06089,0.9571,0.94356,0.93812,0.78746,0.67386,0.50747,1.10384,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4349.96,0.68784,0.542,1.05916,0.95105,0.94314,0.92354,0.78011,0.66816,0.50943,1.09725,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4445.98,0.67906,0.53616,1.05617,0.94157,0.94545,0.91852,0.77601,0.66555,0.49373,1.09725,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4541.28,0.68671,0.54042,1.06342,0.95415,0.93323,0.92378,0.78189,0.66349,0.51076,1.09311,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4635.04,0.6803,0.52814,1.05468,0.94634,0.95226,0.93329,0.78717,0.66727,0.5154,1.09871,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4728.13,0.67756,0.52881,1.05521,0.95799,0.95116,0.94182,0.79247,0.6669,0.50683,1.09763,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4822.31,0.68169,0.52541,1.05767,0.95482,0.93016,0.92765,0.785,0.66496,0.49402,1.09473,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4917.13,0.67208,0.52314,1.0545,0.96679,0.93622,0.93593,0.78947,0.66901,0.48772,1.09817,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5009.68,0.67452,0.50551,1.05608,0.97407,0.94649,0.93601,0.78855,0.66733,0.49275,1.09575,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5102.28,0.67423,0.5102,1.05283,0.96584,0.93792,0.93513,0.79362,0.66267,0.49342,1.09187,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5194.46,0.67295,0.4989,1.05011,0.95008,0.94969,0.93445,0.79101,0.66297,0.49304,1.0915,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5286.81,0.66519,0.50191,1.04945,0.9594,0.94866,0.93526,0.7916,0.65872,0.49529,1.08979,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
